"i","Seed","R12","R15","R12R15","R12R23","R12R25","R15R52","R12R25R23","R15R52R23","R12R15R54","R15R52R54","R12R15R23R34","R12R15R23R54","R12R25R23R34","R12R25R23R54","R15R52R23R54","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
20,0.06622930298608376,0.05387396979312549,0.04772039815699951,0.029075958668200747,0.02431548961477404,0.018509614664030276,0.010566344004170477,0.01076159459338137,0.014145323254966364,0.003383728661584996,0.095163035667493,0.0369185395154578,0.030168002161725133,0.030168002161725133,0.022630231613653184,0.022630231613653184,0.007537770548071952,0.3297207663867859,0.08069942923401038,0.05824449615203522,0.007537770548071952
21,0.057823276068619284,0.04826694640544874,0.04228422013537387,0.026659178402221838,0.02227716494556494,0.017038649854279737,0.009620528547942105,0.01013711179590793,0.013298197659330213,0.003161085863422283,0.09952442946772311,0.03850349111608337,0.032289800649970085,0.032289800649970085,0.02424447080266039,0.02424447080266039,0.0080453298473097,0.33687882611033576,0.08434675267622649,0.061020938351639756,0.0080453298473097
22,0.05048416795221761,0.043156189019223246,0.037407683788619,0.024342737186055577,0.020327894689582363,0.015618300957339232,0.008724436228716347,0.009487735243484778,0.012422034988976033,0.002934299745491256,0.10352330622805639,0.03994657039827469,0.03428453029886962,0.03428453029886962,0.02576503757204658,0.02576503757204658,0.008519492726823043,0.3432214591306418,0.08768832741806123,0.06357673582978171,0.008519492726823043
23,0.044076562019820756,0.038516404091948654,0.03304712797431639,0.022145661283812804,0.018482635193628517,0.014261992692899067,0.007883668590913738,0.008829181976718906,0.01153752451571651,0.002708342538997605,0.10717471680596473,0.04125523583258214,0.03614783554721602,0.03614783554721602,0.027188197858569296,0.027188197858569296,0.008959637688646731,0.34883261169893465,0.0907375116214986,0.0659194809733826,0.008959637688646731
24,0.038482229148074275,0.034318911953924225,0.029158685393389845,0.02008012153878185,0.016750706702117535,0.01297886454159421,0.007101256997187638,0.00817420859535209,0.010661323516968944,0.002487114921616854,0.11049656599853665,0.042437786121219206,0.03787846422457349,0.03787846422457349,0.028512575155077133,0.028512575155077133,0.009365889069496373,0.3537896808950821,0.09350990690054287,0.06805877987731745,0.009365889069496373
25,0.03359794621774177,0.030533230966684078,0.025699515786413888,0.018152800352053838,0.015136948423132469,0.011774565617431725,0.006378234734622115,0.007532896192471905,0.009806470912392775,0.0022735747199208707,0.11350858422935392,0.043502974670797355,0.039477662752118836,0.039477662752118836,0.029738706444379946,0.029738706444379946,0.0097389563077389,0.35816348370409057,0.0960225129058605,0.07000560955855659,0.0097389563077389
26,0.029333591505489934,0.02712825859853793,0.022628629132495245,0.016366067294768347,0.013642703639850658,0.01065194990184379,0.005714117392924555,0.006912967177194336,0.008982837086235604,0.0020698699090412683,0.116231504282162,0.04445970988099067,0.04094863338897775,0.04094863338897775,0.03086864087325073,0.03086864087325073,0.010079992515727032,0.3620184110720526,0.09829305516933037,0.07177179440117135,0.010079992515727032
27,0.02561048181440852,0.02407313593064898,0.019907404118897472,0.014718973957347222,0.012266647124778337,0.009611674103855834,0.005107299853491388,0.006320108448666852,0.008197576189465082,0.0018774677407982295,0.11868641437637725,0.04531682748992935,0.042296058951913094,0.042296058951913094,0.03190558594982988,0.03190558594982988,0.010390473002083222,0.3654127054419269,0.10033946071530797,0.07336958688644792,0.010390473002083222
28,0.022359920661041286,0.021337864939770516,0.017499882610311133,0.01320808373704347,0.011005470538382427,0.00865270422702072,0.00455537951002275,0.005758283828094901,0.0074555587356655165,0.0016972749075706147,0.12089426046997934,0.04608292246795306,0.04352569538033286,0.04352569538033286,0.03285360221712991,0.03285360221712991,0.010672093163202955,0.3683988160597615,0.10217945778402472,0.07481133800202629,0.010672093163202955
29,0.019521930730986046,0.01889373399806306,0.015372901769448654,0.01182815462150655,0.009854442774269608,0.007772739022929584,0.004055415598576965,0.005230025023612106,0.006759770922163243,0.0015297458985511366,0.12287547303053585,0.04676622939445647,0.04464402919068269,0.04464402919068269,0.03371734479134414,0.03371734479134414,0.010926684399338547,0.3710237984513082,0.10383027836478209,0.07610924363607939,0.010926684399338547
30,0.017044147215130128,0.016713595782881986,0.013496110679240392,0.010572693584654189,0.008807862130556936,0.006968559442673581,0.003604134141980607,0.0047366950819616735,0.006111673380840742,0.001374978298879068,0.12464969622376183,0.04737454173424301,0.045657994829007176,0.045657994829007176,0.03450184854488596,0.03450184854488596,0.011156146284121218,0.37332973371672545,0.10530844478092254,0.07727515448951883,0.011156146284121218
31,0.01488085160705592,0.014772032706365915,0.011841906859185842,0.009434400637628307,0.007859416281633851,0.006236313357216125,0.0031980872804121823,0.004278721622101537,0.00551151649196543,0.001232794869863893,0.12623560026145997,0.0479151618555401,0.04657474583613329,0.04657474583613329,0.03521235280718021,0.03521235280718021,0.011362393028953078,0.3753541503186115,0.10662962410050608,0.07832043840591986,0.011362393028953078
32,0.012992128133852669,0.013045437652389722,0.010385319222322225,0.00840551933525581,0.0070024646642028315,0.005571744487160793,0.0028337748480950164,0.003855799451343978,0.004958612406279617,0.001102812954935639,0.1276507603571042,0.04839487494760193,0.047401473309928104,0.047401473309928104,0.03585416105049544,0.03585416105049544,0.011547312259432662,0.3771304363474894,0.10780853654275116,0.07925588540950228,0.011547312259432662
33,0.011343127255325217,0.011512031917097636,0.009103857210285896,0.007478108944112405,0.006230256322081353,0.0049703738601691,0.0025077350839433046,0.0034670636856879854,0.0044515658677500595,0.0009845021820620735,0.12891158825739257,0.04881994117481618,0.04814526517087005,0.04814526517087005,0.036432530968197034,0.036432530968197034,0.011712734202673008,0.37868823423083764,0.10885890624238158,0.08009164708257639,0.011712734202673008
34,0.009903422642149325,0.010151837519412774,0.007977340621494527,0.006644251743850573,0.005536094635343337,0.0044276413374859346,0.002216610406364638,0.00311123543559834,0.003988467094337539,0.0008772316587391993,0.13003330459900944,0.04919610143740768,0.048813000051032555,0.048813000051032555,0.03695259052105023,0.03695259052105023,0.011860409529982319,0.38005381281238054,0.10979344469069378,0.08083720316160176,0.011860409529982319
35,0.008646449768338066,0.008946617259793383,0.0069877206585140916,0.005896207196099668,0.004913458790463461,0.003939013912522238,0.0019571932835774305,0.0027867426369974496,0.0035670505785922375,0.0007803079415947873,0.13102994236058702,0.049528592998362375,0.04941127011518319,0.04941127011518319,0.03741927583638998,0.03741927583638998,0.0119919942787932,0.38125041390560466,0.11062385888599528,0.08150134936222464,0.0119919942787932
