"i","Seed","R12","R15","R12R15","R12R23","R12R25","R15R52","R12R25R23","R12R15R23","R15R52R23","R12R15R54","R15R52R54","R12R15R23R34","R12R15R23R54","R12R25R23R34","R12R25R23R54","R15R52R23R54","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
20,0.8437063173132405,0.0634827758781798,0.07451367196740663,0.00337035188071617,0.0029273340706709268,0.0019710794275101086,0.0013992724532060625,0.00011508613938314915,0.00015624734453975692,0.00004116120515660781,0.00021567417499206647,0.00008976385785471027,7.053199893466834e-6,7.053199893466834e-6,5.192838008093174e-6,5.192838008093174e-6,1.8603618853736598e-6,0.007669591199940639,0.00018754997049197215,0.00012591031713735624,1.8603618853736598e-6
21,0.8365672638590516,0.06598716779029298,0.07736450971669327,0.0036804331993675063,0.003195959048883977,0.002153122489024723,0.0015273107103427848,0.00013239759396860648,0.0001797319372881124,0.00004733434331950597,0.0002493776937992282,0.00010375658238677089,8.615673338864403e-6,8.615673338864403e-6,6.343699401924666e-6,6.343699401924666e-6,2.271973936939738e-6,0.008414727919614704,0.0002168233111986814,0.00014562111141245732,2.271973936939738e-6
22,0.8294886177802442,0.06843488389886412,0.08014248626000904,0.003999912946778024,0.003472628903687376,0.0023407828776569953,0.0016591300691210296,0.0001511684513639712,0.00020519266136880094,0.00005402421000482977,0.00028618202579290325,0.00011902968949019874,0.000010412992711745527,0.000010412992711745527,7.66767534161073e-6,7.66767534161073e-6,2.7453173701347976e-6,0.009188373016781637,0.00024878290168752116,0.00016715233630270454,2.7453173701347976e-6
23,0.8224698679374883,0.07082681775766037,0.0828489004575085,0.004328315504759252,0.003756926174786907,0.0025337874141550206,0.0017945280906042323,0.00017142442640393467,0.00023266380255427296,0.00006123937615033832,0.0003261811552606835,0.00013562099018140904,0.000012464919325433536,0.000012464919325433536,9.179359855250443e-6,9.179359855250443e-6,3.2855594701830956e-6,0.009989797879381727,0.0002835091907243949,0.0001905601650792745,3.2855594701830956e-6
24,0.8155105075164788,0.07316385052973441,0.08548503062619948,0.004665177965628414,0.00404844482732876,0.00273186999546823,0.001933307970160186,0.00019318796219592078,0.00026217519127627343,0.00006898722908035272,0.000369464310308276,0.00015356627108745137,0.000014791557350976265,0.000014791557350976265,0.000010893604119289789,0.000010893604119289789,3.897953231686479e-6,0.010818286883956812,0.000321078452472264,0.00021589803922082468,3.897953231686479e-6
25,0.8086100339913393,0.07544685114861756,0.08805213484750875,0.005010049859162168,0.004346789999521953,0.002934771447301988,0.002075278411860182,0.00021647836902043938,0.0002937523933699859,0.0000772740243495466,0.0004161160899645601,0.00017289935078905323,0.000017413309263738998,0.000017413309263738998,0.000012825483741248996,0.000012825483741248996,4.5878255224900056e-6,0.011673137190218806,0.0003615629007455516,0.00024321673917550697,4.5878255224900056e-6
26,0.8017679490883357,0.07767667647749141,0.09055145127037287,0.005362492884798478,0.004651577755273009,0.0031422393794211835,0.002220253505377297,0.00024131195887494705,0.0003274168947968035,0.00008610493592185658,0.0004662165885561818,0.00019365213490765506,0.00002035083319743886,0.00002035083319743886,0.00001499026743145339,0.00001499026743145339,5.360565765985471e-6,0.012553658538693894,0.0004050308007407711,0.0002725644536485269,5.360565765985471e-6
27,0.7949837587498958,0.07985417146636299,0.09298419840991842,0.0057220806489922185,0.0049624348417392486,0.003354028043654837,0.0023680526053373833,0.00026770217577879737,0.0003631862805091032,0.00009548410473030593,0.0005198415174041665,0.00021585466996142802,0.000023625002145406894,0.000023625002145406894,0.000017403387020202862,0.000017403387020202862,6.221615125204037e-6,0.013459173051397622,0.00045154657829350124,0.0003039868474427387,6.221615125204037e-6
28,0.7882569730989352,0.08198016930726784,0.09535157544179447,0.006088398407631715,0.0052789984517087425,0.0035698981945545575,0.0025185002130771596,0.00029565972195395976,0.00040107440761634635,0.00010541468566238672,0.0005770623238940888,0.00023953519601480186,0.000027256864950497925,0.000027256864950497925,0.000020080408777990835,0.000020080408777990835,7.176456172507096e-6,0.014389015035496807,0.0005011709267108937,0.0003375271278792871,7.176456172507096e-6
29,0.7815871064034826,0.08405549158752511,0.09765476249221981,0.006461042813425054,0.005600915990716602,0.0037896169526604653,0.002671425860764591,0.00032519267999334914,0.0004410915730078738,0.00011589889301452479,0.0006379463079704059,0.00026472019814557344,0.00003126760902666139,0.00003126760902666139,0.00002303700599753043,0.00002303700599753043,8.230603029130964e-6,0.01534253078991475,0.0005539609112279811,0.00037322610982483265,8.230603029130964e-6
30,0.7749736770416069,0.08608094844106866,0.09989492092380635,0.006839621668166535,0.005927844848808951,0.004012957670328976,0.002826663997837562,0.0003563066311258398,0.00048324467558389695,0.00012693804445805724,0.0007025567361046564,0.00029143445675321937,0.00003567852475674013,0.00003567852475674013,0.00002628893279746392,0.00002628893279746392,9.389591959276212e-6,0.016319078414836947,0.0006099700711351472,0.0004111222793514373,9.389591959276212e-6
31,0.7684162074666394,0.08805733869787775,0.10207319361721894,0.007223753679795212,0.0062594521768674785,0.0042396998000776035,0.0029840538797176112,0.00038900476968433106,0.0005275373732424149,0.0001385326035580839,0.0007709529527863217,0.000319701096731595,0.0000405109715125791,0.0000405109715125791,0.00002985199910872232,0.00002985199910872232,0.000010658972403856784,0.017318027624075007,0.0006692485196232367,0.00045125185605472706,0.000010658972403856784
32,0.761914224172691,0.08998545003153062,0.10419070524873157,0.00761306822415898,0.006595414667409076,0.0044696287654026985,0.0031434394587562847,0.0004232880138805907,0.0005739702347661009,0.00015068222088551029,0.0008431904895842739,0.0003495416355287711,0.00004578634524500325,0.00004578634524500325,0.00003374204680556563,0.00003374204680556563,0.000012044298439437624,0.018338759560247195,0.0007318430413919115,0.0004936488540555031,0.000012044298439437624
33,0.7554672576604606,0.09186605910490388,0.10624856256373867,0.00800720511139916,0.006935418339776578,0.00470253583402676,0.0033046692773724034,0.00045915511298802263,0.0006225408867496041,0.0001633857737615815,0.0009193211718258637,0.00038097603011633395,0.00005152604759266426,0.00005152604759266426,0.00003797492694437154,0.00003797492694437154,0.000013551120648292727,0.01938066661273451,0.0007977971880660023,0.0005383451417095301,0.000013551120648292727
34,0.7490748424033337,0.09369993171404074,0.10824785464627922,0.008405814356871997,0.007279158329638154,0.004938217993532705,0.0034675963633392947,0.0004966027510309845,0.0006732441557041964,0.00017664140467321188,0.0009993932229398553,0.000414022722890058,0.0000577514564601603,0.0000577514564601603,0.00004256647807425177,0.00004256647807425177,0.000015184978385908542,0.020443152238371898,0.0008671513714637681,0.0005853705000497978,0.000015184978385908542
35,0.7427365168137671,0.09548782293021027,0.1101896531846313,0.008808555956524943,0.007626338682714389,0.005176477829343183,0.0036320781271817638,0.0005356256470768222,0.0007260722054732664,0.00019044655839644411,0.0010834513665085753,0.0004486986865234509,0.00006448389801720227,0.00006448389801720227,0.000047532505584561614,0.000047532505584561614,0.00001695139243264066,0.02152563078483469,0.0009399429547601497,0.0006347526799851248,0.00001695139243264066
36,0.7364518232099582,0.09723047724018,0.11207501273303308,0.009215099666647034,0.007976672152653535,0.0054171234050037365,0.0037979762616432997,0.000576216652224383,0.000781014670088807,0.00020479801786442404,0.0011715369260738248,0.00048501946779526856,0.00007174462007193493,0.00007174462007193493,0.000052888762055329836,0.000052888762055329836,0.000018855858016605104,0.022627527316681002,0.0010162063415872936,0.0006865174582785566,0.000018855858016605104
37,0.730220307782797,0.0989286286847239,0.11390497096958581,0.009625124787913995,0.008329880002976875,0.00565996814472928,0.0039651566431847165,0.0006183668433804258,0.0008380587821957778,0.00021969193881535206,0.001263687922740295,0.0005229992304117016,0.000079554766772823,0.000079554766772823,0.00005865092857757367,0.00005865092857757367,0.000020903838195249343,0.023748277444011333,0.001095973063113829,0.000740688692328594,0.000020903838195249343
38,0.7240415205630965,0.10058300099538724,0.11568054895039373,0.010038319953650203,0.008685691813017546,0.005904830718174088,0.0041334892354761175,0.0006620656139130533,0.0008971894971680218,0.0002351238832549686,0.001359939170619435,0.0005626507968435488,0.00008793535459478077,0.00008793535459478077,0.00006483459701137793,0.00006483459701137793,0.000023100757583402863,0.02488732715370719,0.0011792718631435976,0.0007972883737758867,0.000023100757583402863
