"i","Seed","R12","R15","R12R23","R12R25","R15R52","R15R52R23","R15R54","R12R23R34","R12R25R54","R15R52R23R34"
65,0.2689644738326142,0.21632301883598323,0.2394180536734436,0.05490297858322953,0.03660198572215302,0.022928424579363633,0.003063309972307701,0.13277383080276803,0.014676535433563198,0.0097843569557088,0.0005630316088822848
66,0.26358518435596195,0.21627211558355686,0.23903719236509016,0.055851569697030964,0.03723437979802065,0.023343357232672318,0.0031702474200608058,0.13553634680669238,0.015225565219395493,0.01015037681293033,0.0005936647086053618
67,0.25831348066884274,0.21617289704474485,0.2386029213630791,0.056790322492562204,0.037860214995041476,0.023754921379349564,0.0032786050892562317,0.1382944682570588,0.0157840809163658,0.010522720610910537,0.0006253671828059698
68,0.253147211055466,0.216026898756253,0.23811715384940424,0.05771900086256174,0.0384793339083745,0.024163013977295957,0.0033883485666397666,0.14104757888817124,0.016351984141291423,0.010901322760860952,0.0006581532336985322
69,0.2480842668343568,0.21583561897600326,0.237581753042584,0.05863738169147941,0.039091587794319614,0.024567537017700036,0.0034994431648371445,0.1437950845095105,0.01692917414991704,0.011286116099944697,0.0006920367193649299
70,0.24312258149766977,0.21560051950449458,0.23699853335892862,0.05954525446747541,0.03969683631165028,0.024968397379538262,0.0036118539552949733,0.14653641242923263,0.017515547966831833,0.011677031977887893,0.0007270311510133013
71,0.23826012986771647,0.2153230264888621,0.236369261548339,0.06044242090398562,0.040294947269323755,0.02536550668762779,0.003725545800019253,0.14927101089106642,0.018111000511506586,0.012074000341004396,0.0007631496905662511
72,0.23349492727036228,0.21500453120999083,0.23569565780517765,0.06132869457063789,0.04088579638042526,0.025758781174152038,0.003840483382144827,0.15199834852431648,0.018715424720546443,0.012476949813697635,0.0008004051485664436
73,0.2288250287249551,0.21464639085303266,0.23497939685474067,0.06220390053330837,0.04146926702220558,0.02614814154358061,0.003956631235368291,0.15471791380668393,0.019328711666252822,0.012885807777501887,0.0008388099823878918
74,0.22424852815045615,0.21424992926166858,0.23422210901584936,0.06306787500311166,0.042045250002074444,0.02653351284090699,0.004073953772276092,0.15742921453962325,0.019950750671585905,0.013300500447723943,0.0008783762947415747
75,0.21976355758744714,0.21381643767645067,0.23342538124006845,0.06392046499412286,0.042613643329415245,0.026914824323128892,0.004192415311598773,0.16013177733595996,0.02058142942161702,0.013720952947744688,0.0009191158324643356
76,0.2153682864356983,0.21334717545755236,0.23259075812804805,0.06476152798963399,0.043174351993089326,0.027292009333897964,0.004311980104421559,0.16282514711949922,0.02122063407155825,0.014147089381038841,0.0009610399855803233
77,0.21106092070698443,0.2128433707922478,0.23171974292347572,0.06559093161675147,0.04372728774450098,0.027665005181266994,0.004432612359380732,0.1655088866363613,0.02186824935145459,0.014578832900969734,0.0010041597866245389
78,0.20683970229284487,0.21230622138743568,0.23081379848511502,0.06640855332914568,0.04427236888609711,0.028033753018464336,0.004554276266874526,0.16818257597778602,0.022524158667622106,0.015016105778414744,0.0010484859102183463
79,0.20270290824698808,0.21173689514751565,0.2298743482373969,0.06721428009776724,0.04480952006517815,0.028398197727626893,0.0046769360223165675,0.17084581211415273,0.023188244200913564,0.015458829467275715,0.0010940286728870915
80,0.19864885008204836,0.21113653083791903,0.22890277710002105,0.06800800810934929,0.04533867207289952,0.028758287806424355,0.004800555848459163,0.17349820843996885,0.023860387001891237,0.015906924667927497,0.001140798033110257
81,0.19467587308040743,0.21050623873459104,0.22790043239701374,0.06878964247251831,0.045859761648345536,0.029113975257508935,0.004925100016813118,0.17613939432958448,0.02454046708298473,0.01636031138865649,0.0011888035915948486
82,0.19078235561879947,0.20984710125971312,0.2268686247456805,0.0695590969313403,0.04637273128756019,0.029465215480726215,0.00505053286819004,0.17876901470339618,0.025228363507709912,0.016818909005139947,0.00123805459176298
83,0.18696670850642358,0.20916017360395028,0.22580862892588247,0.0703162935861326,0.04687752905742173,0.029811967168024197,0.005176818832392497,0.18138672960430788,0.025923954477023316,0.01728263631801555,0.0012885599204448804
84,0.1832273743362953,0.20844648433550156,0.2247216847300557,0.07106116262137555,0.04737410841425036,0.030154192200998856,0.005303922447076717,0.1839922137842219,0.026627117412884642,0.017751411608589767,0.0013403281087688054
85,0.17956282684956942,0.20770703599622609,0.22360899779438514,0.07179364204056142,0.047862428027040944,0.03049185555101607,0.005431808375811943,0.18658515630033792,0.027337729039098396,0.018225152692732272,0.0013933673332395726
86,0.1759715703125781,0.20694280568511186,0.2224717404115351,0.07251367740782198,0.04834245160521466,0.030824925181850864,0.00556044142535992,0.18916526012104237,0.02805566545950401,0.01870377697300268,0.001447685416997692
87,0.1724521389063266,0.20615474562934905,0.2213110523253308,0.07322122159617915,0.04881414773078611,0.031153371954786374,0.005689786562197426,0.19173224174117548,0.02878080223358223,0.019187201489054825,0.0015032898312512912
88,0.16900309612820008,0.20534378374326373,0.22012804150777632,0.0739162345422667,0.049277489694844474,0.03147716953611611,0.005819808928304171,0.19428583080646775,0.029513014449544024,0.019675342966362686,0.0015601876968732655
89,0.16562303420563618,0.20451082417536356,0.21892378491878745,0.07459868300737432,0.049732455338249555,0.03179629430699428,0.005950473856237826,0.19682576974694205,0.030252176794966692,0.02016811786331113,0.0016183857861563071
90,0.16231057352152356,0.203656747843741,0.21769932924900837,0.07526854034466848,0.05017902689644566,0.03211072527558029,0.006081746883517414,0.1993518134190819,0.030998163625040435,0.020665442416693627,0.0016778905247186854
91,0.1590643620510932,0.20278241296007532,0.2164556916460751,0.0759257862724477,0.05061719084829847,0.03242044399142452,0.006213593766335721,0.20186372875657044,0.03175084902848712,0.021167232685658083,0.0017387079935538596
92,0.15588307481007138,0.20188865554246901,0.21519386042467983,0.07657040665329297,0.05104693776886199,0.03272543446204384,0.006345980492620911,0.20436129442940976,0.032510106891211595,0.02167340459414107,0.0018008439312172167
93,0.15276541331386997,0.20097628991735025,0.21391479576078365,0.07720239327897713,0.05146826218598476,0.03302568307163621,0.006478873294466965,0.20684430051123298,0.033275810957744525,0.02218387397182969,0.0018643037361434258
94,0.14971010504759266,0.20004610921066773,0.2126194303703171,0.07782174366099978,0.05188116244066653,0.033321178501885124,0.006612238659952112,0.20931254815462663,0.0340478348905343,0.022698556593689537,0.0019290924690880955
95,0.14671590294664089,0.1990988858285997,0.21130867017270183,0.07842846082661749,0.05228564055107833,0.033611911654805315,0.006746043344363902,0.21176584927428413,0.034826052327144294,0.023217368218096203,0.0019952148556876166
96,0.14378158488770812,0.1981353719279944,0.20998339493951867,0.07902255312024162,0.05268170208016108,0.03389787557758272,0.006880254380849095,0.2142040262378153,0.03561033693541047,0.023740224623606986,0.0020626752891312558
97,0.14090595318995405,0.19715629987675545,0.20864445892864159,0.07960403401007916,0.05306935600671945,0.034179065389362266,0.0070148390905061,0.2166269115640405,0.036400562466612885,0.024267041644408596,0.002131477832939747
98,0.13808783412615505,0.19616238270437988,0.20729269150414936,0.08017292189989438,0.05344861459992959,0.03445547820993834,0.007149765091937213,0.21903434762860177,0.03719660280671368,0.024797735204475792,0.0022016262238448076
99,0.13532607744363206,0.19515431454285384,0.2059288977423213,0.08072923994577191,0.053819493297181276,0.03472711309030367,0.007285000310277471,0.22142618637672656,0.03799833202571262,0.02533222135047509,0.0022731238747641797
100,0.1326195558947595,0.19413277105810564,0.2045538590240155,0.08127301587776473,0.05418201058517648,0.03499397094501336,0.007420512985716519,0.22380228904298408,0.03880562442517034,0.0258704162834469,0.0023459738778669544
101,0.1299671647768644,0.19309840987221272,0.2031683336137237,0.08180428182631243,0.054536187884208276,0.035256054486321776,0.007556271681529433,0.22616252587787655,0.03961835458394799,0.026412236389298665,0.0024201790077241197
102,0.12736782148132714,0.1920518709765538,0.20177305722558897,0.08232307415331847,0.054882049435545636,0.0355133681600509,0.0076922452916320695,0.22850677588111182,0.04043639740221111,0.02695759826814075,0.002495741724539414
103,0.1248204650517007,0.19099377713609514,0.2003687435766673,0.08282943328777681,0.0552196221918512,0.03576591808314965,0.007828403047676053,0.23083492654140705,0.041259628143744294,0.027506418762496206,0.0025726641774557347
104,0.12232405575066674,0.18992473428499482,0.19895608492770828,0.08332340356584124,0.05554893571056082,0.036013711982904595,0.007964714525698191,0.23314687358267633,0.04208792247662206,0.02805861498441472,0.002650948207932495
105,0.11987757463565352,0.18884533191370548,0.19753575261172351,0.0838050330752328,0.055870022050155184,0.03625675913776342,0.008101149652338636,0.23544252071645758,0.04292115651228047,0.028614104341520327,0.002730595353189477
106,0.1174800231429405,0.18775614344775257,0.19610839755060747,0.08427437350388305,0.05618291566925535,0.03649507031973312,0.00823767871064183,0.23772177940043898,0.0437592068430328,0.02917280456202188,0.0028116068497128634
107,0.11513042268008172,0.1866577266183612,0.19467465076006749,0.08473147999271327,0.0564876533284755,0.03672865773831612,0.00837427234545381,0.23998456860294595,0.04460195057807163,0.029734633718714435,0.0028939836368192815
108,0.1128278142264802,0.18555062382510115,0.1932351238431164,0.08517641099245171,0.0567842739949678,0.03695753498594792,0.008510901568429168,0.24223081457325446,0.04544926537799876,0.03029951025199919,0.0029777263602738194
109,0.11057125794195065,0.1844353624907166,0.1917904094723747,0.08560922812439328,0.05707281874959551,0.03718171698490096,0.008647537762660563,0.2444604506175981,0.04630102948792328,0.030867352991948867,0.0030628353759581113
110,0.1083598327831117,0.18331245540830296,0.19034108186142462,0.08602999604500816,0.05735333069667209,0.037401219935620116,0.008784152686943363,0.2466734168807409,0.04715712176916721,0.03143808117944482,0.003149310753584717
111,0.10619263612744953,0.18218240108099065,0.18888769722545282,0.08643878231430786,0.05762585487620523,0.03761606126645583,0.00892071847968765,0.2488696601329881,0.048017421729617295,0.032011614486411544,0.0032371522804541504
112,0.1040687834049006,0.1810456840542917,0.18743079423141384,0.08683565726787934,0.05789043817858621,0.03782625958476198,0.009057207662489509,0.25104913356251257,0.04888180955276037,0.032587873035173597,0.003326359465251027
113,0.1019874077368026,0.17990277524126227,0.18597089443794143,0.08722069389249949,0.05814712926166631,0.038031834629325904,0.009193593143373186,0.253211796572875,0.049750166125439164,0.03316677741695946,0.003416931541875922
114,0.09994765958206657,0.1787541322406312,0.18450850272523017,0.08759396770524477,0.058395978470163167,0.038232807224099045,0.00932984821971541,0.2553576145856205,0.05062237306436416,0.03374824870957612,0.0035088674733096538
115,0.09794870639042529,0.1776001996480413,0.18304410771510476,0.08795555663601208,0.05863703775734137,0.03842919923319729,0.00946594658086285,0.2574865588478347,0.051498312741416606,0.034332208494277754,0.003602165955506808
116,0.09598973226261688,0.17644140936054678,0.18157818218149047,0.08830554091336917,0.058870360608912764,0.038621033517140656,0.009601862310453405,0.25959860624454745,0.05237786830777673,0.034918578871851166,0.0036968254213154365
117,0.09406993761736464,0.1752781808745083,0.1801111834514928,0.08864400295365465,0.059096001969103085,0.03880833389030279,0.009737569888451715,0.26169373911587235,0.05326092371691042,0.03550728247794029,0.0037928440444199704
118,0.09218853886501745,0.17411092157702324,0.17864355379729094,0.08897102725324932,0.05931401816883286,0.03899112507954134,0.009873044192909014,0.26377194507877416,0.05414736374644697,0.03609824249763132,0.0038902197433044877
119,0.09034476808771714,0.17294002703102626,0.17717572081904473,0.08928670028394237,0.059524466855961564,0.03916943268398092,0.010008260501457172,0.26583321685335826,0.05503707401897946,0.03669138267931965,0.003988950185233578
120,0.0885378727259629,0.17176588125419295,0.17570809781901067,0.08959111039131774,0.05972740692754515,0.03934328313592098,0.010143194492546486,0.267877552093578,0.055929941021818884,0.03728662734787927,0.00408903279024815
121,0.08676711527144369,0.1705888569917757,0.17424108416705866,0.08988434769608744,0.05992289846405828,0.03951270366284163,0.010277822246436547,0.2699049532222589,0.05682585212573206,0.03788390141715472,0.004190464735173615
122,0.08503177296601486,0.16940931598349912,0.17277506565777667,0.0901665039983004,0.06011100266553358,0.03967772225048087,0.010412120245949232,0.27191542727034035,0.05772469560269294,0.0384831304017953,0.00429324295763798
123,0.08333113750669456,0.1682276092246393,0.1713104148593472,0.090437672684357,0.06029178178957132,0.03983836760695747,0.010546065376992625,0.27390898572023775,0.05862636064267594,0.039084240428450635,0.0043973641600974726
124,0.08166451475656071,0.16704407722140888,0.16984749145437472,0.09069794863676094,0.060465299091173944,0.03999466912791422,0.010679634928864444,0.27588564435323015,0.05953073736951951,0.039687158246346346,0.004502824813867399
125,0.0800312244614295,0.16585905024076694,0.16838664257284028,0.09094742814654154,0.06063161876436102,0.04014665686265683,0.010812806594343284,0.27784542310078064,0.06043771685588712,0.040291811237258085,0.004609621163156043
126,0.07843059997220095,0.1646728485547711,0.166928203117355,0.09118620882828143,0.060790805885520945,0.04029436148126437,0.010945558469575793,0.27978834589969803,0.061347191137352534,0.0408981274249017,0.004717749229099476
127,0.07686198797275695,0.16348578267958572,0.16547249608088138,0.09141438953768549,0.06094292635845699,0.0404378142426476,0.011077869053767621,0.2817144405510521,0.062259053225635345,0.041506035483756906,0.004827204813795233
128,0.07532474821330182,0.16229815360925892,0.16401983285708666,0.09163207029162884,0.06108804686108589,0.04057704696353221,0.01120971724868583,0.2836237385827546,0.0631731971210122,0.04211546474734148,0.00493798350433291
129,0.0738182532490358,0.1611102530443779,0.16257051354349028,0.09183935219062281,0.06122623479374854,0.040712091988344294,0.011341082357980165,0.285516275115721,0.0640895178239285,0.04272634521595234,0.005050080676819768
130,0.0723418881840551,0.15992236361571022,0.1611248272375629,0.0920363373436392,0.06135755822909279,0.04084298215997612,0.011471944086330428,0.2873920887335305,0.06500791134583472,0.043338607563889825,0.00516349150039957
131,0.07089505042037403,0.15873475910293644,0.1596830523259318,0.09222312879523464,0.06148208586348976,0.040969750791410645,0.01160228253842698,0.2892512213555024,0.06592827471927111,0.043952183146180754,0.005278210941262874
132,0.06947714941196657,0.15754770464857729,0.15824545676684396,0.09239983045491801,0.06159988696994534,0.04109243163818356,0.011732078217791174,0.2910937181131093,0.06685050600722346,0.04456700400481565,0.005394233766647144
133,0.06808760642372728,0.15636145696721648,0.156812298366035,0.09256654702870513,0.06171103135247009,0.04121105887166256,0.011861312025442364,0.2929196272296498,0.06777450431177265,0.0451830028745151,0.005511554548825056
134,0.06672585429525275,0.15517626455011815,0.15538382504614873,0.0927233839528065,0.061815589301871,0.04132566705312344,0.011989965258417916,0.2947289999031041,0.0687001697820597,0.0458001131880398,0.0056301676690794795
